album	artist	time	track
"The ""Chirping"" Crickets"	The Crickets	2016-12-14 00:00:00	That'll Be The Day
The Sun Sessions	Elvis Presley	2016-12-14 00:02:00	That's All Right
Say Kay-Lee	Ceili Rain	2016-12-14 00:04:00	That's All the Lumber You Sent
The Complete Stax/Volt Singles: 1959-1968	Otis Redding	2016-12-14 00:10:00	That's How Strong My Love Is
I'm With Stupid	Aimee Mann	2016-12-14 00:12:00	That's Just What You Are
We Started Nothing	The Ting Tings	2016-12-14 00:17:00	That's Not My Name
The Road To Ensenada	Lyle Lovett	2016-12-14 00:22:00	That's Right (you're Not From Texas)
Led Zeppelin Iii	Led Zeppelin	2016-12-14 00:27:00	That's The Way
KC and the Sunshine Band	KC and the Sunshine Band	2016-12-14 00:32:00	That's The Way (I Like It)
McCartney	Paul McCartney	2016-12-14 00:35:00	That Would Be Something
Number Ones	Ramsey Lewis Trio	2016-12-14 00:40:00	"The ""In"" Crowd"
Parsley Sage Rosemary And Thyme	Simon & Garfunkel	2016-12-14 00:46:00	The 59th Street Bridge Song (Feelin' Groovy)
I'm With You	Red Hot Chili Peppers	2016-12-14 00:48:00	The Adventures of Rain Dance Maggie
I'm With You	Red Hot Chili Peppers	2016-12-14 00:48:00	The Adventures of Rain Dance Maggie
So Beautiful or So What	Paul Simon	2016-12-14 00:52:00	The Afterlife
30th Anniversary Collection	The Hollies	2016-12-14 00:56:00	The Air That I Breathe
Greetings From Asbury Park NJ	Bruce Springsteen	2016-12-14 01:00:00	The Angel
Angel In The House	The Story	2016-12-14 01:04:00	The Angel In The House
The Honesty Room	Dar Williams	2016-12-14 01:09:00	The Babysitter's Here
Piano Man	Billy Joel	2016-12-14 01:13:00	The Ballad Of Billy The Kid
Sign O' The Times	Prince	2016-12-14 01:19:00	The Ballad of Dorothy Parker
Past Masters Vol. 2	The Beatles	2016-12-14 01:23:00	The Ballad Of John And Yoko
Nonsuch	XTC	2016-12-14 01:26:00	The Ballad Of Peter Pumpkinhead
Desolation Boulevard	Sweet	2016-12-14 01:30:00	The Ballroom Blitz
Led Zeppelin Iv	Led Zeppelin	2016-12-14 01:34:00	The Battle Of Evermore
The American	Martin Sexton	2016-12-14 01:41:00	The Beast In Me
This Year's Model	Elvis Costello	2016-12-14 01:45:00	The Beat
The Beat Goes On	Sonny & Cher	2016-12-14 01:49:00	The Beat Goes On
Mind Bomb	The The	2016-12-14 01:53:00	The Beat(en) Generation
Jammin'	Sheila Hylton	2016-12-14 01:56:00	The Bed's Too Big Without You
Under The Table And Dreaming	Dave Matthews Band	2016-12-14 01:59:00	The Best Of What's Around
Carnival Love	Amy Correia	2016-12-14 02:03:00	The Bike
Snap!	The Jam	2016-12-14 02:08:00	The Bitterest Pill
Hard Again	Muddy Waters	2016-12-14 02:14:00	The Blues Had A Baby And Called It Rock And Roll
Rides Again	James Gang	2016-12-14 02:17:00	The Bomber
69 Love Songs	The Magnetic Fields	2016-12-14 02:23:00	The Book of Love
Winter In America	Gil Scott-Heron	2016-12-14 02:25:00	The Bottle
Greatest Hits	Merle Haggard	2016-12-14 02:31:00	The Bottle Let Me Down
Big Audio Dynamite	Big Audio Dynamite	2016-12-14 02:33:00	The Bottom Line.
Bridge Over Troubled Water	Simon & Garfunkel	2016-12-14 02:39:00	The Boxer
Graceland	Paul Simon	2016-12-14 02:44:00	The Boy In The Bubble
Jailbreak	Thin Lizzy	2016-12-14 02:48:00	The Boys Are Back In Town
Building The Perfect Beast	Don Henley	2016-12-14 02:54:00	The Boys Of Summer
Var-funk Classics	Kurtis Blow	2016-12-14 02:59:00	The Breaks
Kihnsolidated - The Best Of Greg Kihn	Greg Kihn	2016-12-14 03:03:00	The Breakup Song
Sandinista!	The Clash	2016-12-14 03:06:00	The Call Up
Sammy Davis Jr. Now	Sammy Davis Jr.	2016-12-14 03:12:00	The Candy Man
The Captain	Kasey Chambers	2016-12-14 03:15:00	The Captain
Carpet Crawlers 1999	Genesis	2016-12-14 03:20:00	The Carpet Crawlers 1999
Oczy Mlody	The Flaming Lips	2016-12-14 03:25:00	The Castle
The Cat	Jimmy Smith	2016-12-14 03:30:00	The Cat
Sigh No More	Mumford & Sons	2016-12-14 03:33:00	The Cave
Rumours	Fleetwood Mac	2016-12-14 03:38:00	The Chain
L.A. Woman	The Doors	2016-12-14 03:42:00	The Changeling
Stanley Road	Paul Weller	2016-12-14 03:46:00	The Changingman
Asking For Flowers	Kathleen Edwards	2016-12-14 03:52:00	The Cheapest Key
Var-beg, Shout And Scream	Joe Simon	2016-12-14 03:55:00	The Chokin' Kind
The Soul Sessions	Joss Stone	2016-12-14 03:58:00	The Chokin' Kind
Ladies Of The Canyon	Joni Mitchell	2016-12-14 04:01:00	The Circle Game
The World Is A Ghetto	War	2016-12-14 04:06:00	The Cisco Kid
Bandwagonesque	Teenage Fanclub	2016-12-14 04:11:00	The Concept
Undermind	Phish	2016-12-14 04:17:00	The Connection
The Beatles	The Beatles	2016-12-14 04:19:00	The Continuing Story Of Bungalow Bill
Slowhand	Eric Clapton	2016-12-14 04:22:00	The Core
In The Court Of The Crimson King	King Crimson	2016-12-14 04:31:00	The Court Of The Crimson King
Houses Of The Holy	Led Zeppelin	2016-12-14 04:39:00	The Crunge
The Doors	The Doors	2016-12-14 04:42:00	The Crystal Ship
Porcupine	Echo & The Bunnymen	2016-12-14 04:45:00	The Cutter
School Days	Stanley Clarke	2016-12-14 04:49:00	The Dancer
Diesel & Dust	Midnight Oil	2016-12-14 04:55:00	The Dead Heart
Get Behind Me Satan	The White Stripes	2016-12-14 05:00:00	The Denial Twist
Bringing Down The Horse	The Wallflowers	2016-12-14 05:02:00	The Difference
Fashion Nugget	Cake	2016-12-14 05:07:00	The Distance
The Wild, The Innocent & The E Street Shuffle	Bruce Springsteen	2016-12-14 05:10:00	The E Street Shuffle
I Do Not Want What I Haven't Got	Sinead O'Connor	2016-12-14 05:15:00	The Emperor's New Clothes
Abbey Road	The Beatles	2016-12-14 05:20:00	The End
The Doors	The Doors	2016-12-14 05:22:00	The End
The End Of The Innocence	Don Henley	2016-12-14 05:35:00	The End Of The Innocence
Picaresque	The Decemberists	2016-12-14 05:40:00	The Engine Driver
The Envoy	Warren Zevon	2016-12-14 05:44:00	The Envoy
18 Tracks	Bruce Springsteen	2016-12-14 05:48:00	The Fever
The Royal Scam	Steely Dan	2016-12-14 05:56:00	The Fez
Back In The Highlife	Steve Winwood	2016-12-14 06:00:00	The Finer Things
Magical Mystery Tour	The Beatles	2016-12-14 06:06:00	The Fool On The Hill
Midnight Stroll	Robert Cray	2016-12-14 06:11:00	The Forecast (Calls For Pain)
Fundamental	Bonnie Raitt	2016-12-14 06:15:00	The Fundamental Things
Greetings From Timbuk 3	Timbuk 3	2016-12-14 06:21:00	The Future's So Bright (I Gotta Wear Shades)
A Donny Hathaway Collection	Donny Hathaway	2016-12-14 06:25:00	The Ghetto
Mirror Moves	Psychedelic Furs	2016-12-14 06:31:00	The Ghost In You
Ga Ga Ga Ga Ga	Spoon	2016-12-14 06:38:00	The Ghost Of You Lingers
The Ghosts That Haunt Me	Crash Test Dummies	2016-12-14 06:42:00	The Ghosts That Haunt Me
The Essential Little Richard	Little Richard	2016-12-14 06:45:00	The Girl Can't Help It
Getz / Gilberto	Stan Getz & Joao Gilberto	2016-12-14 06:51:00	The Girl From Ipanema
A Year In The Wilderness	John Doe	2016-12-14 06:57:00	The Golden State
The Nightfly	Donald Fagen	2016-12-14 07:00:00	The Goodbye Look
Man On The Moon Soundtrack	R.E.M.	2016-12-14 07:05:00	The Great Beyond
Blue Lights On The Runway	Bell X1	2016-12-14 07:10:00	The Great Defector
Dark Side Of The Moon	Pink Floyd	2016-12-14 07:15:00	The Great Gig In The Sky
London Calling	The Clash	2016-12-14 07:20:00	The Guns Of Brixton
1967: The Beat Goes On	The Supremes	2016-12-14 07:25:00	The Happening
The Harder They Come	Jimmy Cliff	2016-12-14 07:28:00	The Harder They Come
Elephant	The White Stripes	2016-12-14 07:31:00	The Hardest Button To Button
Meat Is Murder	The Smiths	2016-12-14 07:38:00	The Headmaster Ritual
The Healer	John Lee Hooker	2016-12-14 07:43:00	The Healer
The Story of Sonny Boy Slim	Gary Clark Jr.	2016-12-14 07:51:00	The Healing
The Cosmic Game	Thievery Corporation	2016-12-14 07:55:00	The Heart's A Lonely Hunter
Broken Bells	Broken Bells	2016-12-14 08:00:00	The High Road
David Bromberg	David Bromberg	2016-12-14 08:04:00	The Holdup
On and On	Jack Johnson	2016-12-14 08:07:00	The Horizon Has Been Defeated
Rock Instrumentals	Cliff Nobles & Company	2016-12-14 08:10:00	The Horse
In Step	Stevie Ray Vaughan	2016-12-14 08:13:00	The House Is Rockin'
30 GREATEST HITS	Aretha Franklin	2016-12-14 08:16:00	The House That Jack Built
Rhino Hi-Five	Digital Underground	2016-12-14 08:21:00	The Humpty Dance
The Hurdy Gurdy Man	Donovan	2016-12-14 08:28:00	The Hurdy Gurdy Man
The Hustle And The Best Of Van Mccoy	Van McCoy	2016-12-14 08:31:00	The Hustle
Let's Face It	The Mighty Mighty Bosstones	2016-12-14 08:37:00	The Impression That I Get
Aladdin Sane	David Bowie	2016-12-14 08:40:00	The Jean Genie
My Generation	The Who	2016-12-14 08:44:00	The Kids Are Alright
Ocean Rain	Echo & The Bunnymen	2016-12-14 08:51:00	The Killing Moon
The Lamb Lies Down On Broadway	Genesis	2016-12-14 08:56:00	The Lamb Lies Down On Broadway
Hotel California	The Eagles	2016-12-14 09:02:00	The Last Resort
Forty Licks	The Rolling Stones	2016-12-14 09:09:00	The Last Time
Turning Point	John Mayall	2016-12-14 09:15:00	The Laws Must Change
II	Led Zeppelin	2016-12-14 09:21:00	The Lemon Song
Mad Dogs & Englishmen	Joe Cocker	2016-12-14 09:28:00	The Letter
The Best Of The Box Tops	The Box Tops	2016-12-14 09:32:00	The Letter
The Lion Sleeps Tonight	The Tokens	2016-12-14 09:34:00	The Lion Sleeps Tonight
Running On Empty	Jackson Browne	2016-12-14 09:37:00	The Load Out / Stay
Locomotion	Little Eva	2016-12-14 09:46:00	The Loco-Motion
Breakfast In America	Supertramp	2016-12-14 09:49:00	The Logical Song
Neil Young	Neil Young	2016-12-14 09:53:00	The Loner
Let It Be	The Beatles	2016-12-14 09:57:00	The Long And Winding Road
Anodyne	Uncle Tupelo	2016-12-14 10:02:00	The Long Cut
The Long Road	Cliff Eberhardt	2016-12-14 10:05:00	The Long Road
Selections from The Look Of Love The Burt Bacharach Collection	Dusty Springfield	2016-12-14 10:10:00	The Look Of Love
Lexicon Of Love	ABC	2016-12-14 10:15:00	The Look Of Love (part One)
